group,mean_delta_risk,median_delta_risk,std_delta_risk,pct_positive,n
0,0.025955911990569347,0.04083688682764425,0.016098789249982676,1.0,3892
1,0.02040630546772495,0.008677503897435601,0.015544994284169934,1.0,4108
