condition,group,mean_meas_rate_last5,mean_pred_risk_last5,mean_gap_last5,true_severity_last5
Baseline,0,0.8224,0.5549487072262319,0.5018,0.509
Baseline,1,0.8103999999999999,0.5478347753207105,0.7236,0.5022
Mitigation,0,0.8417999999999999,0.5606989761904101,0.1866,0.509
Mitigation,1,0.8476000000000001,0.5574183277209631,0.1758,0.5022
